participant_id	intervention_type	mood_week_1	mood_week_2	mood_week_3	mood_week_4
24	Sleep Hygiene	69.16722599521704	68.72875113732567	92.58284524325705	61.4214733541834
25	Sleep Hygiene	76.33263133746287	61.121608398107945	63.61494626251225	65.23769979588923
26	Sleep Hygiene	57.3873553834071	54.42240511985079	59.82986125233512	67.13272012151113
27	Sleep Hygiene	60.16651642330515	74.5564970444	69.38206745600752	65.6158661298182
28	Sleep Hygiene	55.57910698291388	76.76937138661721	47.32515327749437	60.47076950680863
29	Sleep Hygiene	62.64316983638782	78.16882415394252	77.40867850835954	78.88514063680336
30	Sleep Hygiene	78.3683512308157	74.8937746158196	70.91192373611383	71.46470812276375
31	Sleep Hygiene	64.39281444177148	74.90165955926366	70.26823345436391	56.73702325545941
32	Sleep Hygiene	61.63425396893003	60.155961186509515	64.08113763295327	55.863155735372
33	Sleep Hygiene	72.42148805258692	71.18612656330652	62.98382438864484	60.37985175971163
34	Sleep Hygiene	70.42896501859227	82.21963015074991	61.27380554323583	60.364841632338916
35	Sleep Hygiene	62.61270632982914	80.86915153221575	73.98468601630817	50.11331930389443
36	Sleep Hygiene	72.35219377120856	66.68306897556526	70.83864613503827	52.84859271445018
37	Sleep Hygiene	62.19203267810297	59.431082369570355	77.74865204779223	58.11106039775641
38	Sleep Hygiene	58.87098787665582	72.04906091210528	56.78502938836712	64.20444524210038
39	Sleep Hygiene	60.759979487485765	62.37301584407608	55.30866700371615	66.61187468661996
40	Sleep Hygiene	57.731606882285135	71.58064654404221	60.15228851702896	52.27965524362513
41	Sleep Hygiene	54.46347471038203	63.167423565493785	51.47126166410298	59.30652649020308
42	Sleep Hygiene	76.67169690600495	64.68518537876146	71.68344469107808	66.3739884247282
43	Sleep Hygiene	64.65924288638953	58.61512922354633	57.14150624848381	57.4116836675805
44	Sleep Hygiene	67.61627696129453	71.4081926222932	65.18070482702078	74.57390056649626
45	Sleep Hygiene	58.39257449627722	54.7602417824537	70.74172070684948	59.93842633463177
46	Sleep Hygiene	83.345098892853	60.23851711902757	53.44543919175422	75.01629140613397
47	Sleep Hygiene	60.013015643409936	79.21250904316999	85.30290389318351	65.73277246425539
48	Sleep Hygiene	60.225830462273805	79.00283562665014	79.77857313804408	81.39819508840482
49	Sleep Hygiene	63.898513074708085	72.21967320122317	59.06241400800944	61.074114327461096
50	Sleep Hygiene	52.88344554530383	62.63484240961275	69.87647263117304	62.65144054840585
51	Relaxation Techniques	77.80599997016544	49.593018216968964	60.022724972905934	74.86451425941887
52	Relaxation Techniques	60.81898293350254	76.16060761078349	75.02360579796886	68.41140373097937
53	Relaxation Techniques	68.15056114514886	75.86142044568595	86.5488477252429	68.1440880159723
54	Relaxation Techniques	62.982651492829746	83.05651228196464	81.65324499453835	78.38827057263686
55	Relaxation Techniques	57.224761607679454	75.64278989422115	61.07010246045103	76.55033131326337
56	Relaxation Techniques	67.96646909325158	43.097246778375656	82.26193019356407	83.20105873944836
57	Relaxation Techniques	68.757318012942	65.0134145516199	58.02672289744255	70.58558635670016
58	Relaxation Techniques	66.86699572581824	94.53441103495369	78.620812806457	67.27323378774855
59	Relaxation Techniques	68.84201157330686	71.48461031136843	51.687718540702875	76.94263490913471
60	Relaxation Techniques	73.41583009969553	76.76608966143067	74.25687787188308	73.02087162155705
61	Relaxation Techniques	57.4988108598242	74.07390207472379	66.56120040656062	76.36179138796193
62	Relaxation Techniques	67.85344405286865	60.588706264076656	59.794507546310356	60.6991664445923
63	Relaxation Techniques	80.551601294371	64.86089545167879	65.56949022288555	77.06011944871749
64	Relaxation Techniques	58.65158676891557	65.22904990746434	73.49501207868408	75.62026022707579
65	Relaxation Techniques	53.81900718419433	81.74727980760167	67.31095797490748	82.0288511426648
66	Relaxation Techniques	67.24423858421623	59.27430840277478	74.17286576646555	53.20348889161049
67	Relaxation Techniques	61.65031603815609	56.29835757143731	56.03209937401246	77.08362170022929
68	Relaxation Techniques	58.76991793439687	60.791128527779726	67.96387052179229	79.10209710412158
69	Relaxation Techniques	59.66445412078171	74.81884177722267	78.40689436975819	75.57694994026984
70	Relaxation Techniques	54.14067544075896	70.64713735807511	58.72003258069346	67.0599233225476
71	Relaxation Techniques	58.50213462909105	68.82985565228506	74.23502037211718	69.7153960362674
72	Relaxation Techniques	75.24582976427622	81.93473980867537	60.22840527941996	61.698640608520165
73	Relaxation Techniques	57.290961447447955	58.259888919274346	51.93796149522271	93.68610994296799
74	Relaxation Techniques	58.44006284863389	77.7267060690583	62.54815400716386	68.1168877173613
75	Relaxation Techniques	68.33563364497893	68.28398589459042	68.46940854727222	74.66409186632372
76	Relaxation Techniques	60.29084713436066	57.76383850758958	54.4880262008146	56.17027064599425
77	Relaxation Techniques	78.3005532522283	70.23375144983228	81.2744708641108	90.556534444284
78	Relaxation Techniques	55.58346880488984	68.6998222345605	52.28001595870525	79.5955305803442
79	Relaxation Techniques	72.1654868737338	72.04374055147261	68.01795081557486	75.25376205078169
80	Relaxation Techniques	86.18860817805634	76.33444703049682	63.65051436412048	80.99756892551271
81	Relaxation Techniques	69.0046086763601	53.79674991344572	69.6591523634545	63.04745742940316
82	Relaxation Techniques	51.12391938156121	52.54357753725439	82.43109562164467	96.54954706414598
83	Relaxation Techniques	71.7709003807623	69.33740894152139	77.07175151382515	71.47815944004329
84	Relaxation Techniques	83.63291325595748	58.548583232397185	73.21723760527865	88.11734212799809
85	Relaxation Techniques	71.95939369754545	76.76321565300547	74.53575034669689	75.87649385507336
86	Relaxation Techniques	70.34972730326913	65.15812095796817	67.34810242484967	70.74367147829747
87	Relaxation Techniques	67.35029613789585	72.42022233701279	71.26183008425157	72.55775354487778
88	Relaxation Techniques	88.1481429795858	79.94070760037907	74.83310708137178	45.77603164406817
89	Relaxation Techniques	64.32910669643758	61.116426097964144	63.60259588866779	71.21341659795519
90	Relaxation Techniques	54.11479323509042	60.1484357386456	68.95643201510718	77.29197854782471
91	Relaxation Techniques	63.725762260459035	64.40802857979058	65.6404336899223	80.08382539417511
92	Relaxation Techniques	58.400788770069255	81.92570319789561	65.36384670025326	89.51425262738263
93	Relaxation Techniques	62.94377130566728	78.6640395537558	73.35799158792558	70.95230344754836
94	Relaxation Techniques	66.29829318739156	78.16787830354508	55.929306170465765	64.58832326971854
95	Relaxation Techniques	53.336108823478746	61.55760896574547	92.08830924286858	86.39473294924649
96	Relaxation Techniques	57.75137918777794	59.78544736155764	70.27652279898456	63.44615604003937
97	Relaxation Techniques	69.6499568632998	59.45223787414979	72.07501488837364	64.81807792438676
98	Relaxation Techniques	54.90034977645334	79.54046089380887	76.98151034593268	73.94720322800342
99	Relaxation Techniques	60.66180999540639	63.36879363932351	64.41743095731131	67.93432451075405
100	Relaxation Techniques	52.92199405563847	57.40765547958153	81.98834201077877	67.18649509139901
